Year,League,Player,Team,RBI
1947,NL,Johnny Mize,New York,138
1948,AL,Joe DiMaggio,New York,155
1948,NL,Stan Musial,St. Louis,131
1949,AL,Vern Stephens,Boston,159
1949,NL,Ralph Kiner,Pittsburgh,127
1950,AL,Walt Dropo,Boston,144
1950,NL,Del Ennis,Philadelphia,126
1951,AL,Gus Zernial,Chicago,129
1951,NL,Monte Irvin,New York,121
1952,AL,Al Rosen,Cleveland,105
1952,NL,Hank Sauer,Chicago,121
1953,AL,Al Rosen,Cleveland,145
1953,NL,Roy Campanella,Brooklyn,142
1954,AL,Larry Doby,Cleveland,126
1954,NL,Ted Kluszewski,Cincinnati,141
1955,AL,Ray Boone,Detroit,116
1955,NL,Duke Snider,Brooklyn,136
1956,AL,Mickey Mantle,New York,130
1956,NL,Stan Musial,St. Louis,109
1957,AL,Roy Sievers,Washington,114
1957,NL,Hank Aaron,Milwaukee,132
1958,AL,Jackie Jensen,Boston,122
1958,NL,Ernie Banks,Chicago,129
1959,AL,Jackie Jensen,Boston,112
1959,NL,Ernie Banks,Chicago,143
1960,AL,Roger Maris,New York,112
1960,NL,Hank Aaron,Milwaukee,126
1961,AL,Jim Gentile,Baltimore,141
1961,NL,Orlando Cepeda,San Francisco,142
1962,AL,Harmon Killebrew,Minnesota,126
1962,NL,Tommy Davis,Los Angeles,153
1963,AL,Dick Stuart,Boston,118
1963,NL,Hank Aaron,Milwaukee,130
1964,AL,Brooks Robinson,Baltimore,118
1964,NL,Ken Boyer,St. Louis,119
1965,AL,Rocky Colavito,Cleveland,108
1965,NL,Deron Johnson,Cincinnati,130
1966,AL,Frank Robinson,Baltimore,122
1966,NL,Hank Aaron,Atlanta,127
1967,AL,Carl Yastrzemski,Boston,121
1967,NL,Orlando Cepeda,St. Louis,111
1968,AL,Ken Harrelson,Boston,109
1968,NL,Willie McCovey,San Francisco,105
1969,AL,Harmon Killebrew,Minnesota,140
1969,NL,Willie McCovey,San Francisco,126
1970,AL,Frank Howard,Washington,126
1970,NL,Johnny Bench,Cincinnati,148
1971,AL,Harmon Killebrew,Minnesota,119
1971,NL,Joe Torre,St. Louis,137
1972,AL,Dick Allen,Chicago,113
1972,NL,Johnny Bench,Cincinnati,125
1973,AL,Reggie Jackson,Oakland,117
1973,NL,Willie Stargell,Pittsburgh,119
1974,AL,Jeff Burroughs,Texas,118
1974,NL,Johnny Bench,Cincinnati,129
1975,AL,George Scott,Milwaukee,109
1975,NL,Greg Luzinski,Philadelphia,120
1976,AL,Lee May,Baltimore,109
1976,NL,George Foster,Cincinnati,121
1977,AL,Larry Hisle,Minnesota,119
1977,NL,George Foster,Cincinnati,149
1978,AL,Jim Rice,Boston,139
1978,NL,George Foster,Cincinnati,120
1979,AL,Don Baylor,California,139
1979,NL,Dave Winfield,San Diego,118
1980,AL,Cecil Cooper,Milwaukee,122
1980,NL,Mike Schmidt,Philadelphia,121
1981,AL,Eddie Murray,Baltimore,78
1981,NL,Mike Schmidt,Philadelphia,91
1982,AL,Hal McRae,Kansas City,133
1982,NL,Dale Murphy,Atlanta,109
1983,AL,Cecil Cooper,Milwaukee,126
1983,NL,Dale Murphy,Atlanta,121
1984,AL,Tony Armas,Boston,123
1984,NL,Gary Carter,Montreal,106
1985,AL,Don Mattingly,New York,145
1985,NL,Dave Parker,Cincinnati,125
1986,AL,Joe Carter,Cleveland,121
1986,NL,Mike Schmidt,Philadelphia,119
1987,AL,George Bell,Toronto,134
1987,NL,Andre Dawson,Chicago,137
1988,AL,Jose Canseco,Oakland,124
1988,NL,Will Clark,San Francisco,109
1989,AL,Ruben Sierra,Texas,119
1989,NL,Kevin Mitchell,San Francisco,125
1990,AL,Cecil Fielder,Detroit,132
1990,NL,Matt Williams,San Francisco,122
1991,AL,Cecil Fielder,Detroit,133
1991,NL,Howard Johnson,New York,117
1992,AL,Cecil Fielder,Detroit,124
1992,NL,Darren Daulton,Philadelphia,109
1993,AL,Albert Belle,Cleveland,129
1993,NL,Barry Bonds,San Francisco,123
1994,AL,Kirby Puckett,Minnesota,112
1994,NL,Jeff Bagwell,Houston,116
1995,AL,Albert Belle,Cleveland,126
1995,NL,Dante Bichette,Colorado,128
1996,AL,Albert Belle,Cleveland,148
1996,NL,Andres Galarraga,Colorado,150
1997,AL,"Ken Griffey, Jr.",Seattle,147
1997,NL,Andres Galarraga,Colorado,140
1998,AL,Juan Gonzalez,Texas,157
1998,NL,Sammy Sosa,Chicago,158
1999,AL,Manny Ramirez,Cleveland,165
1999,NL,Mark McGwire,St. Louis,147
2000,AL,Edgar Martinez,Seattle,145
2000,NL,Todd Helton,Colorado,147
2001,AL,Bret Boone,Seattle,141
2001,NL,Sammy Sosa,Chicago,160
2002,AL,Alex Rodriguez,Texas,142
2002,NL,Lance Berkman,Houston,128
2003,AL,Carlos Delgado,Toronto,145
2003,NL,Preston Wilson,Colorado,141
2004,AL,Miguel Tejada,Baltimore,150
2004,NL,Vinny Castilla,Colorado,131
2005,AL,David Ortiz,Boston,148
2005,NL,Andruw Jones,Atlanta,128
2006,AL,David Ortiz,Boston,137
2006,NL,Ryan Howard,Philadelphia,149
2007,AL,Alex Rodriguez,New York,156
2007,NL,Matt Holliday,Colorado,137
2008,AL,Josh Hamilton,Texas,130
2008,NL,Ryan Howard,Philadelphia,146
2009,AL,Mark Teixeira,New York,122
2009,NL,Prince Fielder,Milwaukee,141
2010,AL,Miguel Cabrera,Detroit,126
2010,NL,Albert Pujols,St. Louis,118
2011,AL,Curtis Granderson,New York,119
2011,NL,Matt Kemp,Los Angeles,126
2012,AL,Miguel Cabrera,Detroit,139
2012,NL,Chase Headley,San Diego,115
2013,AL,Chris Davis,Baltimore,138
2013,NL,Paul Goldschmidt,Arizona,125
2014,AL,Mike Trout,Los Angeles,111
2014,NL,Adrian Gonzalez,Los Angeles,116
2015,AL,Josh Donaldson,Toronto,123
2015,NL,Nolan Arenado,Colorado,130
2016,AL,Edwin Encarnacion,Toronto,127
2016,NL,Nolan Arenado,Colorado,133
2017,AL,Nelson Cruz,Seattle,119
2017,NL,Giancarlo Stanton,Miami,132
2018,AL,J.D. Martinez,Boston,130
2018,NL,Javier Báez,Chicago,111
2019,AL,José Abreu,Chicago,123
2019,NL,Anthony Rendon,Washington,126
2020,AL,José Abreu,Chicago,60
2020,NL,Marcell Ozuna,Atlanta,56
2021,AL,Salvador Perez,Kansas City,121
2021,NL,Adam Duvall,Atlanta,113
2022,AL,Aaron Judge,New York,131
2022,NL,Pete Alonso,New York,131
2023,AL,Kyle Tucker,Houston,112
2023,NL,Matt Olson,Atlanta,139
2024,AL,Aaron Judge,New York,144
2024,NL,Shohei Ohtani,Los Angeles,130
2025,AL,Aaron Judge,New York,60
2025,NL,Pete Alonso,New York,63
Year,AL,American League,Team(s),RBI
Year,NL,National League,Team(s),RBI
